Title,Price,Rating,Availability,Category,Description
A Light in the Attic,51.77,Three,In stock,Unknown,
Tipping the Velvet,53.74,One,In stock,Unknown,
Soumission,50.10,One,In stock,Unknown,
Sharp Objects,47.82,Four,In stock,Unknown,
Sapiens: A Brief History of Humankind,54.23,Five,In stock,Unknown,
The Requiem Red,22.65,One,In stock,Unknown,
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock,Unknown,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock,Unknown,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,Four,In stock,Unknown,
The Black Maria,52.15,One,In stock,Unknown,
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock,Unknown,
Shakespeare's Sonnets,20.66,Four,In stock,Unknown,
Set Me Free,17.46,Five,In stock,Unknown,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,Unknown,
Rip it Up and Start Again,35.02,Five,In stock,Unknown,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock,Unknown,
Olio,23.88,One,In stock,Unknown,
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,Unknown,
Libertarianism for Beginners,51.33,Two,In stock,Unknown,
It's Only the Himalayas,45.17,Two,In stock,Unknown,
In Her Wake,12.84,One,In stock,Unknown,
How Music Works,37.32,Two,In stock,Unknown,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,Unknown,
Chase Me (Paris Nights #2),25.27,Five,In stock,Unknown,
Black Dust,34.53,Five,In stock,Unknown,
Birdsong: A Story in Pictures,54.64,Three,In stock,Unknown,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,Three,In stock,Unknown,
Aladdin and His Wonderful Lamp,53.13,Three,In stock,Unknown,
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,Five,In stock,Unknown,
Wall and Piece,44.18,Four,In stock,Unknown,
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,Unknown,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,Unknown,
The Elephant Tree,23.82,Five,In stock,Unknown,
The Bear and the Piano,36.89,One,In stock,Unknown,
Sophie's World,15.94,Five,In stock,Unknown,
Penny Maybe,33.29,Three,In stock,Unknown,
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,Unknown,
"In a Dark, Dark Wood",19.63,One,In stock,Unknown,
Behind Closed Doors,52.22,Four,In stock,Unknown,
You can't bury them all: Poems,33.63,Two,In stock,Unknown,
Slow States of Collapse: Poems,57.31,Three,In stock,Unknown,
Reasons to Stay Alive,26.41,Two,In stock,Unknown,
Private Paris (Private #10),47.61,Five,In stock,Unknown,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,Unknown,
Without Borders (Wanderlove #1),45.07,Two,In stock,Unknown,
When We Collided,31.77,One,In stock,Unknown,
"We Love You, Charlie Freeman",50.27,Five,In stock,Unknown,
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock,Unknown,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,Unknown,
Unicorn Tracks,18.78,Three,In stock,Unknown,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock,Unknown,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,Unknown,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,Unknown,
This One Summer,19.49,Four,In stock,Unknown,
Thirst,17.27,Five,In stock,Unknown,
The Torch Is Passed: A Harding Family Story,19.09,One,In stock,Unknown,
The Secret of Dreadwillow Carse,56.13,One,In stock,Unknown,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock,Unknown,
The Past Never Ends,56.50,Four,In stock,Unknown,
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock,Unknown,
The Nameless City (The Nameless City #1),38.16,Four,In stock,Unknown,
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,Unknown,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock,Unknown,
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock,Unknown,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,Unknown,
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock,Unknown,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,Unknown,
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,Unknown,
The Death of Humanity: and the Case for Life,58.11,Four,In stock,Unknown,
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock,Unknown,
The Art Forger,40.76,Three,In stock,Unknown,
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock,Unknown,
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock,Unknown,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,Unknown,
Soul Reader,39.58,Two,In stock,Unknown,
Security,39.25,Two,In stock,Unknown,
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock,Unknown,
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,Unknown,
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,Unknown,
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,Three,In stock,Unknown,
